National Assembly for Wales elections 2016 - Results - Constituencies,,,,GENERAL,,,,,REJECTED BALLOT PAPERS,,,,,,,VOTES CAST,,,,,,,,VOTE SHARE %,,,,,,,,,,,,,,,
ONS Constituency Code,Region,Press Association ID,Constituency,Electorate,Total ballots at the count,Total valid votes cast,Ballot box Turnout,Valid vote turnout,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Rejected in part,Total number of ballot papers rejected at the count,Rejected ballots (%),CON,LAB,LIB,PC,UKIP,GRN,Ind,Other,CON,LAB,LIB,PC,UKIP,GRN,IND,Other,Winner,,,,,,,
W07000064,Mid and West Wales,135,Ceredigion," 52,540 "," 29,584 "," 29,485 ",56.3,56.1,,35,,64,,99, 0.33 ," 2,075 "," 1,902 "," 9,606 "," 12,014 "," 2,665 "," 1,223 ",,,7.04,6.45,32.58,40.75,9.04,4.15,0.00,0.00,PC,,,,,,,
W07000062,North Wales,154,Clwyd South," 54,169 "," 22,282 "," 22,159 ",41.1,40.9,,42,9,72,,123, 0.55 ," 4,846 "," 7,862 "," 2,289 "," 3,861 "," 2,827 ", 474 ,,,21.87,35.48,10.33,17.42,12.76,2.14,0.00,0.00,LAB,,,,,,,
W07000059,North Wales,155,Clwyd West," 57,641 "," 26,331 "," 26,226 ",45.7,45.5,,30,9,66,,105, 0.40 ," 10,831 "," 5,246 ", 831 ," 5,768 "," 2,985 ", 565 ,,,41.30,20.00,3.17,21.99,11.38,2.15,0.00,0.00,CON,,,,,,,
W07000070,South Wales Central,174,Cynon Valley," 50,300 "," 19,332 "," 19,236 ",38.4,38.2,,41,,55,,96, 0.50 ," 1,177 "," 9,830 ", 335 ," 3,836 "," 3,460 ", 598 ,,,6.12,51.10,1.74,19.94,17.99,3.11,0.00,0.00,LAB,,,,,,,
W07000042,North Wales,179,Delyn," 53,489 "," 23,324 "," 23,159 ",43.6,43.3,,40,,125,,165, 0.71 ," 5,898 "," 9,480 "," 1,718 "," 2,269 "," 3,794 ",,,,25.47,40.93,7.42,9.80,16.38,0.00,0.00,0.00,LAB,,,,,,,
W07000061,Mid and West Wales,217,Dwyfor Meirionnydd ," 43,279 "," 20,395 "," 20,236 ",47.1,46.8,,28,,131,,159, 0.78 ," 3,160 "," 2,443 ", 916 ," 9,566 "," 2,149 ", 743 ," 1,259 ",,15.62,12.07,4.53,47.27,10.62,3.67,6.22,0.00,PC,,,,,,,
W07000046,South Wales West,273,Gower," 60,631 "," 30,386 "," 30,187 ",50.1,49.8,1,70,,128,,199, 0.65 ," 10,153 "," 11,982 "," 1,033 "," 2,982 "," 3,300 ", 737 ,,,33.63,39.69,3.42,9.88,10.93,2.44,0.00,0.00,LAB,,,,,,,
W07000077,South Wales East,336,Islwyn," 54,465 "," 22,444 "," 22,309 ",41.2,41.0,,41,,94,,135, 0.60 ," 1,775 "," 10,050 ", 597 ," 4,349 "," 4,944 ", 594 ,,,7.96,45.05,2.68,19.49,22.16,2.66,0.00,0.00,LAB,,,,,,,
W07000045,Mid and West Wales,375,Llanelli," 59,653 "," 28,278 "," 28,116 ",47.4,47.1,,32,,130,,162, 0.57 ," 1,937 "," 10,267 ", 355 ," 9,885 "," 4,132 ", 427 ,," 1,113 ",6.89,36.52,1.26,35.16,14.70,1.52,0.00,3.96,LAB,,,,,,,
W07000071,South Wales East,393,Merthyr Tydfil & Rhymney," 53,754 "," 20,828 "," 20,683 ",38.7,38.5,8,61,12,64,,145, 0.70 ," 1,331 "," 9,763 "," 1,122 "," 3,721 "," 4,277 ", 469 ,,,6.44,47.20,5.42,17.99,20.68,2.27,0.00,0.00,LAB,,,,,,,
W07000054,South Wales East,401,Monmouth," 64,197 "," 31,620 "," 31,401 ",49.3,48.9,,7,,212,,219, 0.69 ," 13,585 "," 8,438 "," 1,474 "," 1,824 "," 3,092 ", 910 ," 1,932 ", 146 ,43.26,26.87,4.69,5.81,9.85,2.90,6.15,0.46,CON,,,,,,,
W07000063,Mid and West Wales,402,Montgomeryshire," 48,674 "," 23,742 "," 23,600 ",48.8,48.5,,23,,119,,142, 0.60 ," 9,875 "," 1,389 "," 6,536 "," 2,410 "," 2,458 ", 932 ,,,41.84,5.89,27.69,10.21,10.42,3.95,0.00,0.00,CON,,,,,,,
W07000069,South Wales West,408,Neath," 55,370 "," 25,486 "," 25,363 ",46.0,45.8,,57,3,63,,123, 0.48 ," 2,179 "," 9,468 ", 746 ," 6,545 "," 3,780 ", 589 ," 2,056 ",,8.59,37.33,2.94,25.81,14.90,2.32,8.11,0.00,LAB,,,,,,,
W07000055,South Wales East,417,Newport East," 55,750 "," 20,829 "," 20,688 ",37.4,37.1,,33,1,107,,141, 0.68 ," 3,768 "," 9,229 "," 1,481 "," 1,386 "," 4,333 ", 491 ,,,18.21,44.61,7.16,6.70,20.94,2.37,0.00,0.00,LAB,,,,,,,
W07000056,South Wales East,418,Newport West," 62,169 "," 27,896 "," 27,751 ",44.9,44.6,,33,,112,,145, 0.52 ," 8,042 "," 12,157 ", 880 ," 1,645 "," 3,842 ", 814 , 333 , 38 ,28.98,43.81,3.17,5.93,13.84,2.93,1.20,0.14,LAB,,,,,,,
W07000074,South Wales West,437,Ogmore," 54,502 "," 23,493 "," 23,356 ",43.1,42.9,,49,,91,,137, 0.58 ," 2,587 "," 12,895 ", 698 ," 3,427 "," 3,233 ", 516 ,,,11.08,55.21,2.99,14.67,13.84,2.21,0.00,0.00,LAB,,,,,,,
W07000075,South Wales Central,454,Pontypridd," 58,290 "," 25,482 "," 25,338 ",43.7,43.5,,50,1,39,54,144, 0.57 ," 3,884 "," 9,986 "," 2,979 "," 4,659 "," 3,322 ", 508 ,,,15.33,39.41,11.76,18.39,13.11,2.00,0.00,0.00,LAB,,,,,,,
W07000065,Mid and West Wales,459,Preseli Pembrokeshire," 56,413 "," 28,513 "," 28,397 ",50.5,50.3,,33,5,78,,116, 0.41 ," 11,123 "," 7,193 "," 1,677 "," 3,957 "," 3,286 "," 1,161 ",,,39.17,25.33,5.91,13.93,11.57,4.09,0.00,0.00,CON,,,,,,,
W07000052,South Wales Central,470,Rhondda," 49,767 "," 23,590 "," 23,486 ",47.4,47.2,,44,,60,,104, 0.44 , 528 ," 8,432 ", 173 ," 11,891 "," 2,203 ", 259 ,,,2.25,35.90,0.74,50.63,9.38,1.10,0.00,0.00,PC,,,,,,,
W07000048,South Wales West,558,Swansea East," 57,589 "," 20,709 "," 20,576 ",36.0,35.7,,52,15,66,,133, 0.64 ," 1,729 "," 10,726 "," 1,574 "," 2,744 "," 3,274 ", 529 ,,,8.40,52.13,7.65,13.34,15.91,2.57,0.00,0.00,LAB,,,,,,,
W07000047,South Wales West,559,Swansea West," 54,593 "," 22,345 "," 22,202 ",40.9,40.7,,46,22,75,,143, 0.64 ," 3,934 "," 9,014 "," 2,012 "," 3,225 "," 3,058 ", 883 ,, 76 ,17.72,40.60,9.06,14.53,13.77,3.98,0.00,0.34,LAB,,,,,,,
W07000053,South Wales East,576,Torfaen," 60,246 "," 23,111 "," 22,978 ",38.4,38.1,,28,,105,,133, 0.58 ," 3,931 "," 9,688 ", 628 ," 2,860 "," 5,190 ", 681 ,,,17.11,42.16,2.73,12.45,22.59,2.96,0.00,0.00,LAB,,,,,,,
W07000060,North Wales,588,Vale of Clwyd," 56,322 "," 24,255 "," 24,183 ",43.1,42.9,,50,,22,,72, 0.30 ," 8,792 "," 9,560 ", 758 ," 2,098 "," 2,975 ",,,,36.36,39.53,3.13,8.68,12.30,0.00,0.00,0.00,LAB,,,,,,,
W07000078,South Wales Central,589,Vale of Glamorgan," 71,177 "," 37,930 "," 37,798 ",53.3,53.1,,44,,88,,132, 0.35 ," 13,878 "," 14,655 ", 938 ," 3,871 "," 3,662 ", 794 ,,,36.72,38.77,2.48,10.24,9.69,2.10,0.00,0.00,LAB,,,,,,,
W07000044,North Wales,641,Wrexham," 51,547 "," 20,445 "," 20,354 ",39.7,39.5,,18,,73,,91, 0.45 ," 6,227 "," 7,552 "," 1,140 "," 2,631 "," 2,393 ", 411 ,,,30.59,37.10,5.60,12.93,11.76,2.02,0.00,0.00,LAB,,,,,,,
W07000041,North Wales,647,Ynys Mon," 50,345 "," 25,273 "," 25,167 ",50.2,50.0,,35,,71,,106, 0.42 ," 2,904 "," 4,278 ", 334 ," 13,788 "," 3,212 ", 389 , 262 ,,11.54,17.00,1.33,54.79,12.76,1.55,1.04,0.00,PC,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TOTAL WALES," 2,247,377 "," 1,024,891 "," 1,019,382 ",45.6,45.4,137,1607,88,3461,54,5509, 0.54 ," 215,597 "," 353,865 "," 78,165 "," 209,376 "," 127,038 "," 25,202 "," 7,032 "," 3,107 ",21.1,34.7,7.7,20.5,12.5,2.5,0.7,0.3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
